骨架,格式,骨骼,预览,宽,高,包围盒,姿势,setup隐藏,警告,首条警告
chapter/dragonbones/chapterTopInfo/XCSJ_ske.json,DragonBones,7,_预览/chapter_dragonbones_chapterTopInfo_XCSJ_ske.png,900,848,"-71,-54~58,68",setup pose,,0,
chapter/dragonbones/chapterTopInfo/XC_ske.json,DragonBones,4,_预览/chapter_dragonbones_chapterTopInfo_XC_ske.png,900,900,"-0,-0~1,0",setup pose,,0,
chapter/dragonbones/chapterTopInfo/duigou_ske.json,DragonBones,3,_预览/chapter_dragonbones_chapterTopInfo_duigou_ske.png,900,808,"-204,-247~207,121",动画首帧 newAnimation,,1,摆的是动画 newAnimation 的第 6 帧(显示插槽最多的那一帧)
chapter/dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske.json,DragonBones,8,_预览/chapter_dragonbones_fail_IsOpenLevelOverTipsChangeTrait_bsovy_ske.png,900,219,"-299,362~319,500",动画首帧 newAnimation,,2,摆的是动画 newAnimation 的第 0 帧(显示插槽最多的那一帧)
chapter/dragonbones/fail/bsovy_ske.json,DragonBones,2,_预览/chapter_dragonbones_fail_bsovy_ske.png,900,221,"-150,180~160,250",setup pose,,0,
chapter/dragonbones/fail/trait/reduceTravelSettlement/result_word_soclose_ske.json,DragonBones,2,_预览/chapter_dragonbones_fail_trait_reduceTravelSettlement_result_word_soclose_ske.png,900,190,"-218,-152~215,-70",setup pose,,0,
chapter/dragonbones/gameOver/traits/30598_f_heightFeelShow/gameplay_peakVicotory_ske.json,DragonBones,509,_预览/chapter_dragonbones_gameOver_traits_30598_f_heightFeelShow_gameplay_peakVicotory_ske.png,900,928,"-530,-563~599,603",setup pose,,0,
chapter/dragonbones/repeatPreview/FangDaJing_ske.json,DragonBones,8,_预览/chapter_dragonbones_repeatPreview_FangDaJing_ske.png,900,994,"-49,-58~53,55",setup pose,,0,
chapter/dragonbones/wellDone/XCfive_ske.json,DragonBones,115,_预览/chapter_dragonbones_wellDone_XCfive_ske.png,900,877,"-470,-235~443,654",动画首帧 SO_5,,1,摆的是动画 SO_5 的第 22 帧(显示插槽最多的那一帧)
chapter/dragonbones/wellDone/jindutiao_ske.json,DragonBones,99,_预览/chapter_dragonbones_wellDone_jindutiao_ske.png,900,654,"-265,-240~267,143",setup pose,,0,
chapter/dragonbones/win/JSBS_ske.json,DragonBones,13,_预览/chapter_dragonbones_win_JSBS_ske.png,900,700,"-53,-135~52,-54",setup pose,,0,
chapter/dragonbones/win/JSBSo_ske.json,DragonBones,19,_预览/chapter_dragonbones_win_JSBSo_ske.png,900,899,"-168,79~155,402",setup pose,,0,
chapter/dragonbones/win/jsfs_ske.json,DragonBones,3,_预览/chapter_dragonbones_win_jsfs_ske.png,900,900,"-157,-157~157,157",setup pose,,0,
chapter/dragonbones/win/trait/reduceTravelSettlement/XCfive_ske.json,DragonBones,101,_预览/chapter_dragonbones_win_trait_reduceTravelSettlement_XCfive_ske.png,900,561,"-265,-153~266,173",setup pose,,0,
chapter/dragonbones/win/trait/reduceTravelSettlement/jindutiao_ske.json,DragonBones,99,_预览/chapter_dragonbones_win_trait_reduceTravelSettlement_jindutiao_ske.png,900,654,"-265,-240~267,143",setup pose,,0,
chapter/textures/gameover/trait/gateWinStreakState/newrecord_conseecutiveVictories_ske.json,DragonBones,6,_预览/chapter_textures_gameover_trait_gateWinStreakState_newrecord_conseecutiveVictories_ske.png,900,487,"-291,-131~291,177",setup pose,,0,
chapter/textures/gameover/trait/hardLevelDefeat/effect/result_icon_cup_ske.json,DragonBones,255,_预览/chapter_textures_gameover_trait_hardLevelDefeat_effect_result_icon_cup_ske.png,900,1472,"-327,-492~361,646",setup pose,,0,
class/dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_eff_ske.json,DragonBones,6,_预览/class_dragonbones_board_traits_ClearInitPanelEffectTrait_gameplay_patternFinished_eff_ske.png,900,882,"-102,-100~102,100",动画首帧 gameplay_patternFinished_eff,,1,摆的是动画 gameplay_patternFinished_eff 的第 0 帧(显示插槽最多的那一帧)
class/dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_ske.json,DragonBones,4,_预览/class_dragonbones_board_traits_ClearInitPanelEffectTrait_gameplay_patternFinished_ske.png,900,429,"-510,-50~510,422",setup pose,,0,
class/dragonbones/board/traits/IsOpenSorceBlockTrait/gameplay_scoreBlock_ske.json,DragonBones,39,_预览/class_dragonbones_board_traits_IsOpenSorceBlockTrait_gameplay_scoreBlock_ske.png,900,895,"-61,-56~61,65",动画首帧 efx_3_1,,1,摆的是动画 efx_3_1 的第 4 帧(显示插槽最多的那一帧)
